,veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
35,1.9,0.8542094456,0,0,0.0,SEDAN,1,F,A,4
36,2.42,0.5776865161,0,0,0.0,SEDAN,1,F,A,4
37,1.05,0.4216290212,0,0,0.0,HDTOP,4,F,C,6
38,1.42,0.5941136208,0,0,0.0,TRUCK,3,M,D,4
39,3.0,0.8542094456,0,0,0.0,STNWG,3,M,B,3
40,1.89,0.6543463381,1,2,1811.7099972,STNWG,3,M,F,2
41,2.61,0.2518822724,0,0,0.0,STNWG,2,M,B,4
42,0.93,0.5366187543,0,0,0.0,COUPE,4,F,A,4
43,1.49,0.4052019165,0,0,0.0,HBACK,2,F,C,2
44,3.1,0.462696783,0,0,0.0,HDTOP,1,F,C,3
45,1.94,0.5366187543,0,0,0.0,SEDAN,1,M,A,6
46,2.234,0.8542094456,0,0,0.0,SEDAN,1,M,C,2
47,1.62,0.8542094456,0,0,0.0,SEDAN,2,F,B,4
48,2.14,0.5366187543,0,0,0.0,HDTOP,3,M,D,4
49,1.77,0.2491444216,0,0,0.0,HBACK,2,F,E,1
50,4.03,0.462696783,0,0,0.0,STNWG,1,M,F,2
51,2.65,0.0958247775,0,0,0.0,SEDAN,1,F,C,3
52,1.13,0.3039014374,0,0,0.0,STNWG,4,M,A,1
53,1.53,0.1697467488,0,0,0.0,SEDAN,3,F,D,3
54,1.05,0.9062286105,0,0,0.0,HBACK,2,F,F,3
55,0.88,0.5366187543,0,0,0.0,COUPE,4,M,B,4
56,2.9,0.8542094456,0,0,0.0,STNWG,3,M,B,5
57,2.67,0.5366187543,0,0,0.0,HBACK,1,F,A,2
58,0.83,0.3449691992,0,0,0.0,SEDAN,4,M,C,5
59,0.7,0.2491444216,0,0,0.0,SEDAN,4,F,C,1
60,1.15,0.9062286105,0,0,0.0,STNWG,3,F,A,3
61,0.99,0.3175906913,0,0,0.0,HBACK,3,F,B,3
62,1.75,0.9719370294,0,0,0.0,SEDAN,2,F,B,2
63,2.65,0.0958247775,0,0,0.0,SEDAN,1,F,C,3
64,4.06,0.8514715948,1,1,5434.4399872,STNWG,2,M,F,3
65,1.39,0.3175906913,1,1,865.78999901,HBACK,3,F,A,4
66,1.19,0.9062286105,0,0,0.0,HBACK,2,F,B,5
67,1.19,0.9062286105,0,0,0.0,HBACK,2,F,A,1
68,0.79,0.3531827515,0,0,0.0,HBACK,3,F,B,2
69,1.74,0.8542094456,0,0,0.0,HBACK,2,F,C,3
70,0.77,0.0930869268,0,0,0.0,COUPE,4,M,C,2
71,2.58,0.0301163587,0,0,0.0,HBACK,2,M,A,5
72,0.79,0.0301163587,0,0,0.0,SEDAN,3,F,E,3
73,1.79,0.6735112936,0,0,0.0,UTE,4,F,E,3
74,1.79,0.0465434634,0,0,0.0,HBACK,1,M,C,6
75,1.9,0.8542094456,0,0,0.0,HBACK,1,M,C,1
76,1.84,0.0958247775,0,0,0.0,STNWG,4,M,A,3
77,0.39,0.0301163587,0,0,0.0,HBACK,4,F,B,4
78,5.39,0.0246406571,0,0,0.0,STNWG,2,M,A,5
79,1.43,0.0301163587,0,0,0.0,SEDAN,2,F,B,4
80,2.33,0.2299794661,0,0,0.0,MIBUS,3,F,C,3
81,3.68,0.34770705,0,0,0.0,UTE,1,F,E,2
82,3.43,0.3175906913,0,0,0.0,STNWG,2,F,D,2
83,1.13,0.2299794661,0,0,0.0,SEDAN,3,M,A,3
84,2.65,0.3175906913,0,0,0.0,HDTOP,3,M,F,5
85,1.98,0.2299794661,0,0,0.0,UTE,3,M,A,2
86,0.68,0.2491444216,0,0,0.0,HBACK,3,F,E,3
87,1.15,0.6652977413,0,0,0.0,SEDAN,3,M,C,4
88,3.19,0.9993155373,0,0,0.0,HDTOP,3,M,F,4
89,1.14,0.3449691992,0,0,0.0,SEDAN,3,M,C,4
90,1.43,0.219028063,0,0,0.0,SEDAN,2,F,C,4
91,1.22,0.7775496235,0,0,0.0,HDTOP,4,F,D,2
92,1.75,0.2436687201,0,0,0.0,SEDAN,2,M,A,4
93,0.38,0.7501711157,0,0,0.0,HBACK,4,F,A,2
94,4.7,0.2327173169,0,0,0.0,STNWG,2,M,D,2
95,2.66,0.3175906913,1,1,1105.7699986,STNWG,1,F,F,5
96,1.59,0.2299794661,0,0,0.0,SEDAN,1,F,A,1
97,0.54,0.0273785079,0,0,0.0,SEDAN,4,M,A,4
98,0.5,0.0711841205,1,1,200.0,HBACK,4,F,A,5
99,1.3,0.2299794661,0,0,0.0,HBACK,2,F,B,1
100,1.41,0.0273785079,0,0,0.0,HBACK,2,F,C,4
101,1.75,0.3175906913,0,0,0.0,HBACK,2,F,B,4
102,2.29,0.0301163587,0,0,0.0,UTE,2,M,C,2
103,4.64,0.2217659138,0,0,0.0,STNWG,1,F,D,3
104,0.8,0.2765229295,0,0,0.0,HBACK,3,M,C,6
105,3.55,0.8514715948,0,0,0.0,STNWG,2,F,C,3
106,1.75,0.3175906913,0,0,0.0,HBACK,2,M,A,3
107,1.48,0.6954140999,0,0,0.0,HBACK,2,F,B,2
108,1.22,0.3942505133,0,0,0.0,HBACK,3,M,C,3
109,3.14,0.3066392882,0,0,0.0,UTE,2,F,A,2
110,1.51,0.3175906913,0,0,0.0,STNWG,4,M,A,4
111,1.65,0.7227926078,0,0,0.0,SEDAN,3,M,C,4
112,1.64,0.3175906913,0,0,0.0,UTE,2,M,C,4
113,2.17,0.3449691992,0,0,0.0,STNWG,3,F,F,5
114,1.31,0.3175906913,0,0,0.0,HBACK,2,M,B,2
115,1.16,0.5968514716,1,2,739.22999954,STNWG,4,F,B,2
116,0.77,0.8788501027,0,0,0.0,SEDAN,4,F,C,5
117,0.43,0.3175906913,0,0,0.0,HBACK,4,F,B,3
118,4.98,0.7227926078,0,0,0.0,STNWG,1,M,F,5
119,1.72,0.9062286105,0,0,0.0,SEDAN,2,F,D,6
120,2.47,0.6707734428,0,0,0.0,HDTOP,3,M,D,2
121,4.17,0.7227926078,0,0,0.0,STNWG,2,F,C,2
122,1.13,0.2299794661,0,0,0.0,SEDAN,3,M,B,6
123,0.67,0.0273785079,0,0,0.0,HBACK,4,F,A,5
124,3.56,0.9062286105,1,1,3230.5999985,MCARA,3,M,F,4
125,2.56,0.3175906913,0,0,0.0,STNWG,2,F,A,3
126,1.36,0.2299794661,0,0,0.0,HBACK,1,F,C,5
127,3.999,0.9993155373,0,0,0.0,SEDAN,1,M,C,1
128,1.64,0.090349076,0,0,0.0,HBACK,2,F,A,4
129,2.15,0.6543463381,1,1,200.0,SEDAN,3,F,A,5
130,0.89,0.2299794661,0,0,0.0,HBACK,3,M,C,2
131,3.03,0.9034907598,1,1,200.0,TRUCK,1,M,C,1
132,2.41,0.3394934976,1,1,407.83999968,STNWG,3,M,E,1
133,0.73,0.7693360712,0,0,0.0,SEDAN,4,M,E,5
134,0.82,0.462696783,0,0,0.0,HDTOP,4,F,F,1
135,1.39,0.0930869268,0,0,0.0,SEDAN,3,M,A,2
136,2.54,0.3449691992,0,0,0.0,HDTOP,3,M,C,5
137,0.76,0.3449691992,0,0,0.0,SEDAN,4,M,D,3
138,0.41,0.2299794661,0,0,0.0,HBACK,4,M,A,5
139,3.599,0.5831622177,0,0,0.0,STNWG,1,F,B,3
140,1.98,0.3066392882,0,0,0.0,SEDAN,3,F,A,3
141,0.76,0.2299794661,0,0,0.0,SEDAN,4,F,A,3
142,0.53,0.2299794661,0,0,0.0,HBACK,4,F,B,3
143,1.86,0.3449691992,0,0,0.0,STNWG,2,F,B,4
144,0.22,0.2929500342,0,0,0.0,HBACK,4,M,C,6
145,1.65,0.7227926078,0,0,0.0,SEDAN,3,F,F,3
146,1.33,0.2245037645,0,0,0.0,HBACK,3,F,A,6
147,0.85,0.3066392882,0,0,0.0,HBACK,3,F,A,3
148,1.97,0.6160164271,0,0,0.0,STNWG,3,M,D,5
149,1.15,0.0191649555,0,0,0.0,HBACK,4,F,A,4
150,2.65,0.2902121834,0,0,0.0,SEDAN,1,M,A,5
151,0.45,0.6160164271,0,0,0.0,HBACK,4,F,B,6
152,0.45,0.6160164271,0,0,0.0,HBACK,4,F,A,6
153,0.67,0.6160164271,0,0,0.0,SEDAN,4,F,D,5
154,1.3,0.6488706365,0,0,0.0,HBACK,2,F,C,5
155,0.59,0.6160164271,0,0,0.0,COUPE,4,F,A,4
156,1.55,0.6160164271,0,0,0.0,SEDAN,2,F,E,5
157,1.56,0.2464065708,0,0,0.0,SEDAN,1,F,D,5
158,0.41,0.6160164271,0,0,0.0,SEDAN,4,F,A,5
159,1.72,0.6461327858,0,0,0.0,SEDAN,2,F,B,6
160,0.44,0.6160164271,0,0,0.0,SEDAN,4,M,D,6
161,2.58,0.6160164271,0,0,0.0,STNWG,3,M,D,6
162,1.84,0.2299794661,0,0,0.0,PANVN,1,M,C,3
163,0.22,0.6160164271,0,0,0.0,HBACK,4,F,B,5
164,1.72,0.6160164271,1,1,1619.829998,STNWG,2,F,A,6
165,3.05,0.2299794661,0,0,0.0,STNWG,2,F,F,2
166,1.85,0.3367556468,0,0,0.0,SEDAN,1,F,D,5
167,3.21,0.6160164271,0,0,0.0,STNWG,1,M,B,4
168,0.89,0.6160164271,0,0,0.0,STNWG,4,M,C,6
169,1.98,0.3832991102,0,0,0.0,SEDAN,2,M,A,2
170,0.52,0.3832991102,0,0,0.0,SEDAN,4,F,A,6
171,1.92,0.6160164271,1,1,1010.9199982,STNWG,4,M,A,5
172,1.15,0.6160164271,0,0,0.0,HBACK,3,F,C,2
173,0.5,0.6160164271,0,0,0.0,STNWG,4,F,C,3
174,6.54,0.2299794661,0,0,0.0,STNWG,1,F,D,4
175,5.14,0.6160164271,0,0,0.0,STNWG,1,M,B,6
176,0.67,0.6160164271,0,0,0.0,SEDAN,4,F,C,4
177,1.39,0.3832991102,0,0,0.0,SEDAN,3,M,C,2
178,4.65,0.3832991102,0,0,0.0,STNWG,1,F,E,3
179,1.43,0.3832991102,0,0,0.0,SEDAN,3,F,D,2
180,0.43,0.3832991102,0,0,0.0,SEDAN,4,F,C,2
181,1.02,0.6187542779,0,0,0.0,SEDAN,3,F,B,5
182,1.51,0.1752224504,0,0,0.0,SEDAN,3,F,B,2
183,2.649,0.257357974,1,1,9424.3499756,TRUCK,1,M,A,1
184,1.31,0.6160164271,0,0,0.0,STNWG,4,M,D,3
185,2.48,0.424366872,0,0,0.0,STNWG,3,M,C,1
186,1.74,0.257357974,0,0,0.0,SEDAN,2,F,A,2
187,1.62,0.0930869268,0,0,0.0,STNWG,4,F,F,3
188,5.43,0.6160164271,0,0,0.0,STNWG,1,F,C,3
189,0.65,0.6160164271,0,0,0.0,SEDAN,4,M,A,4
190,0.35,0.6160164271,0,0,0.0,SEDAN,4,M,E,5
191,3.73,0.6160164271,0,0,0.0,STNWG,2,M,A,5
192,1.61,0.3449691992,0,0,0.0,SEDAN,2,F,C,4
193,0.82,0.6160164271,0,0,0.0,HBACK,4,F,A,6
194,1.33,0.6160164271,0,0,0.0,TRUCK,4,M,F,1
195,0.78,0.3422313484,0,0,0.0,HBACK,3,F,C,4
196,3.98,0.6160164271,0,0,0.0,STNWG,2,F,C,2
197,0.95,0.6160164271,0,0,0.0,HDTOP,4,M,A,6
198,1.14,0.3832991102,0,0,0.0,SEDAN,4,F,B,3
199,0.53,0.6160164271,0,0,0.0,SEDAN,4,F,D,5
200,1.5,0.6160164271,0,0,0.0,STNWG,4,M,A,3
201,1.76,0.6160164271,0,0,0.0,STNWG,2,M,C,3
202,1.0,0.3148528405,0,0,0.0,HBACK,2,M,B,4
203,1.22,0.6160164271,0,0,0.0,HBACK,3,M,A,4
204,2.82,0.3832991102,0,0,0.0,STNWG,3,F,C,3
205,2.13,0.900752909,0,0,0.0,HDTOP,2,F,A,2
206,1.01,0.2847364819,0,0,0.0,STNWG,4,M,B,6
207,1.84,0.6160164271,0,0,0.0,SEDAN,2,F,A,6
208,3.11,0.3832991102,0,0,0.0,TRUCK,3,M,C,3
209,0.39,0.6160164271,0,0,0.0,SEDAN,4,M,A,4
210,1.01,0.0930869268,0,0,0.0,HBACK,3,F,E,1
211,2.58,0.6160164271,0,0,0.0,STNWG,3,M,C,5
212,0.51,0.6160164271,0,0,0.0,SEDAN,4,F,A,4
213,1.02,0.6160164271,0,0,0.0,SEDAN,3,F,C,6
214,1.63,0.6461327858,0,0,0.0,HBACK,2,F,C,5
215,0.84,0.6160164271,0,0,0.0,HBACK,3,F,C,4
216,2.34,0.6160164271,0,0,0.0,HBACK,3,M,C,5
217,1.86,0.6160164271,1,1,238.64000034,SEDAN,2,F,C,3
218,7.2,0.6160164271,0,0,0.0,SEDAN,3,F,D,6
219,0.46,0.6160164271,0,0,0.0,STNWG,4,F,A,4
220,1.66,0.9034907598,0,0,0.0,STNWG,3,F,A,3
221,3.71,0.7665982204,0,0,0.0,STNWG,1,F,C,3
222,1.62,0.6160164271,0,0,0.0,STNWG,4,F,F,3
223,0.58,0.6160164271,0,0,0.0,COUPE,4,F,B,4
224,3.06,0.6160164271,0,0,0.0,STNWG,3,F,F,4
225,1.17,0.7693360712,0,0,0.0,SEDAN,3,F,D,1
226,0.98,0.6160164271,0,0,0.0,SEDAN,3,F,B,3
227,1.02,0.6160164271,0,0,0.0,HBACK,4,F,B,2
228,1.4,0.6160164271,0,0,0.0,SEDAN,3,F,A,4
229,2.97,0.0985626283,0,0,0.0,STNWG,1,M,F,4
230,1.78,0.6187542779,0,0,0.0,SEDAN,2,F,C,2
231,0.41,0.3449691992,0,0,0.0,HBACK,4,F,B,3
232,2.74,0.9418206708,0,0,0.0,STNWG,2,M,C,3
233,5.299,0.3832991102,0,0,0.0,STNWG,1,F,D,3
234,1.42,0.2546201232,0,0,0.0,HBACK,1,M,C,3
235,2.01,0.6160164271,0,0,0.0,HDTOP,3,M,E,5
236,1.54,0.6160164271,1,1,200.0,STNWG,2,F,B,3
237,4.0,0.6160164271,0,0,0.0,STNWG,2,F,A,4
238,1.3,0.6461327858,0,0,0.0,HBACK,2,M,C,4
239,1.34,0.1724845996,0,0,0.0,HBACK,2,F,B,3
240,1.67,0.3832991102,0,0,0.0,STNWG,2,F,E,5
241,1.88,0.7501711157,1,1,369.17999983,PANVN,3,M,D,3
242,1.03,0.3449691992,0,0,0.0,HBACK,3,F,D,4
243,1.43,0.2299794661,0,0,0.0,TRUCK,4,M,D,1
244,0.89,0.6844626968,1,1,353.76999998,SEDAN,3,F,D,3
245,1.13,0.0930869268,0,0,0.0,STNWG,4,F,B,2
246,1.9,0.1916495551,0,0,0.0,PANVN,3,M,C,5
247,2.11,0.8706365503,0,0,0.0,HBACK,2,F,C,3
248,1.82,0.7501711157,0,0,0.0,UTE,1,M,D,4
249,0.0,0.9993155373,0,0,0.0,BUS,3,M,F,5
250,3.03,0.7529089665,0,0,0.0,STNWG,1,M,D,3
251,3.7,0.4161533196,0,0,0.0,STNWG,3,M,C,1
252,2.22,0.3915126626,0,0,0.0,HDTOP,3,F,C,2
253,2.15,0.6461327858,0,0,0.0,SEDAN,3,F,A,4
254,0.58,0.6461327858,0,0,0.0,HBACK,4,M,A,3
255,1.53,0.6269678302,0,0,0.0,STNWG,4,M,A,4
256,1.55,0.6461327858,0,0,0.0,HBACK,2,F,C,2
257,1.12,0.6461327858,0,0,0.0,STNWG,4,M,A,3
258,0.48,0.925393566,0,0,0.0,HBACK,4,F,A,6
259,1.67,0.0930869268,0,0,0.0,TRUCK,1,M,B,2
260,1.02,0.643394935,0,0,0.0,HBACK,3,M,C,4
261,1.64,0.2491444216,0,0,0.0,STNWG,4,M,C,3
262,2.01,0.5557837098,0,0,0.0,TRUCK,3,M,F,5
263,0.85,0.925393566,0,0,0.0,HBACK,3,F,B,4
264,1.42,0.6461327858,0,0,0.0,HBACK,1,F,C,6
265,2.75,0.2491444216,0,0,0.0,STNWG,3,F,B,3
266,1.66,0.128678987,0,0,0.0,SEDAN,2,M,F,3
267,1.66,0.2299794661,0,0,0.0,SEDAN,3,M,C,5
268,1.18,0.219028063,0,0,0.0,STNWG,4,F,B,3
269,0.95,0.7173169062,0,0,0.0,SEDAN,4,F,C,6
270,1.77,0.643394935,0,0,0.0,SEDAN,2,M,C,4
271,1.3,0.720054757,0,0,0.0,HBACK,1,F,B,3
272,0.65,0.7857631759,0,0,0.0,MIBUS,4,F,B,5
273,0.73,0.9062286105,0,0,0.0,SEDAN,4,M,C,6
274,1.12,0.5037645448,0,0,0.0,HBACK,2,F,B,1
275,0.98,0.2299794661,0,0,0.0,HBACK,3,F,E,6
276,1.399,0.7693360712,0,0,0.0,HBACK,1,F,B,5
277,1.31,0.1998631075,0,0,0.0,UTE,4,M,C,5
278,1.76,0.2299794661,0,0,0.0,SEDAN,1,F,E,1
279,1.42,0.900752909,0,0,0.0,HBACK,1,F,C,3
280,0.41,0.2299794661,0,0,0.0,SEDAN,4,F,E,2
281,4.0,0.2299794661,0,0,0.0,STNWG,2,M,C,3
282,1.19,0.0930869268,0,0,0.0,UTE,4,M,B,4
283,0.47,0.7501711157,0,0,0.0,HBACK,4,F,C,1
284,2.01,0.0273785079,0,0,0.0,UTE,3,F,F,3
285,1.55,0.9062286105,0,0,0.0,HDTOP,4,M,D,1
286,1.45,0.1998631075,0,0,0.0,SEDAN,2,F,D,2
287,1.2,0.0930869268,0,0,0.0,HBACK,2,M,C,1
288,1.03,0.2299794661,0,0,0.0,STNWG,3,F,A,1
289,1.89,0.8514715948,0,0,0.0,STNWG,2,F,A,6
290,2.0,0.3011635866,0,0,0.0,SEDAN,1,M,B,4
291,1.73,0.2491444216,0,0,0.0,SEDAN,2,M,F,3
292,1.07,0.2299794661,0,0,0.0,SEDAN,3,F,D,2
293,2.72,0.2491444216,0,0,0.0,SEDAN,1,F,A,3
294,3.22,0.8514715948,0,0,0.0,UTE,1,M,C,3
295,0.45,0.2354551677,0,0,0.0,COUPE,4,F,E,4
296,0.48,0.052019165,0,0,0.0,SEDAN,4,F,C,6
297,1.22,0.605065024,0,0,0.0,HBACK,3,M,C,4
298,3.19,0.9993155373,0,0,0.0,HBACK,2,F,A,4
299,2.79,0.3778234086,0,0,0.0,SEDAN,1,F,C,2
300,0.9,0.8514715948,0,0,0.0,SEDAN,4,M,A,2
301,6.1,0.2491444216,0,0,0.0,SEDAN,1,M,C,5
302,4.46,0.1916495551,1,1,989.91999817,COUPE,2,M,B,2
303,4.56,0.6488706365,0,0,0.0,MIBUS,2,M,C,3
304,1.48,0.1998631075,0,0,0.0,HBACK,1,F,C,5
305,2.33,0.8514715948,0,0,0.0,SEDAN,2,M,C,5
306,2.67,0.2491444216,0,0,0.0,STNWG,3,F,D,4
307,1.59,0.0273785079,0,0,0.0,SEDAN,2,F,A,3
308,4.32,0.6461327858,1,1,736.84999847,STNWG,2,M,A,5
309,1.05,0.5393566051,0,0,0.0,HBACK,2,M,C,3
310,1.06,0.925393566,0,0,0.0,STNWG,3,M,E,4
311,6.07,0.2491444216,0,0,0.0,STNWG,1,M,E,3
312,5.59,0.8514715948,1,1,369.14999962,STNWG,1,M,C,3
313,1.44,0.6652977413,1,1,500.0,UTE,4,M,F,2
314,1.41,0.0739219713,0,0,0.0,HBACK,2,F,C,6
315,0.47,0.1998631075,0,0,0.0,SEDAN,4,M,A,3
316,1.84,0.3531827515,0,0,0.0,STNWG,4,F,B,4
317,2.81,0.8514715948,1,1,353.76999998,STNWG,1,M,C,3
318,2.55,0.2491444216,0,0,0.0,SEDAN,1,F,C,5
319,3.01,0.848733744,0,0,0.0,STNWG,2,M,E,4
320,1.6,0.2491444216,0,0,0.0,HBACK,2,F,D,4
321,1.59,0.772073922,0,0,0.0,PANVN,3,F,D,5
322,2.01,0.6461327858,0,0,0.0,HDTOP,3,F,D,2
323,1.43,0.6461327858,0,0,0.0,STNWG,4,F,D,6
324,0.73,0.4024640657,0,0,0.0,SEDAN,4,F,B,3
325,0.79,0.2354551677,0,0,0.0,SEDAN,4,F,C,4
326,1.49,0.3531827515,0,0,0.0,HBACK,2,F,C,4
327,0.67,0.925393566,0,0,0.0,SEDAN,4,M,C,5
328,1.23,0.772073922,0,0,0.0,HBACK,2,F,A,2
329,1.67,0.0273785079,0,0,0.0,SEDAN,2,F,E,6
330,1.26,0.3559206023,0,0,0.0,HBACK,3,F,C,1
331,3.75,0.6461327858,0,0,0.0,STNWG,2,F,E,3
332,0.34,0.643394935,0,0,0.0,SEDAN,4,F,D,4
333,1.61,0.3531827515,0,0,0.0,HBACK,2,M,B,3
334,1.41,0.9993155373,0,0,0.0,SEDAN,2,F,A,2
335,2.95,0.2491444216,0,0,0.0,STNWG,1,F,D,6
336,1.578,0.8514715948,0,0,0.0,HBACK,1,M,A,4
337,1.12,0.2217659138,0,0,0.0,HBACK,2,F,B,3
338,1.36,0.0273785079,0,0,0.0,SEDAN,2,F,C,4
339,0.92,0.2491444216,0,0,0.0,HBACK,3,F,C,2
340,0.73,0.8514715948,0,0,0.0,HBACK,3,F,C,1
341,1.22,0.9993155373,0,0,0.0,HBACK,3,F,E,6
342,5.65,0.1040383299,0,0,0.0,STNWG,1,M,C,3
343,3.0,0.6132785763,1,1,6372.0299988,STNWG,3,F,C,2
344,0.54,0.2272416153,0,0,0.0,HBACK,4,F,A,4
345,1.76,0.1998631075,0,0,0.0,HBACK,1,F,B,5
346,1.07,0.3312799452,0,0,0.0,STNWG,4,M,B,3
347,1.14,0.1451060917,0,0,0.0,UTE,4,M,A,2
348,0.2,0.0958247775,0,0,0.0,HBACK,4,M,A,3
349,1.51,0.6461327858,0,0,0.0,UTE,3,M,B,3
350,2.29,0.3531827515,1,1,500.0,STNWG,4,F,F,4
351,0.39,0.925393566,1,1,1379.0399971,SEDAN,4,F,C,6
352,1.75,0.2217659138,0,0,0.0,HBACK,2,F,B,2
353,1.31,0.3148528405,0,0,0.0,HBACK,2,F,A,1
354,0.47,0.3915126626,0,0,0.0,STNWG,4,F,D,3
355,1.09,0.2080766598,0,0,0.0,HBACK,3,F,C,3
356,1.3,0.2491444216,0,0,0.0,HBACK,2,F,C,5
357,1.23,0.772073922,0,0,0.0,HBACK,2,M,C,1
358,1.9,0.2272416153,0,0,0.0,SEDAN,1,F,A,4
359,1.87,0.8514715948,0,0,0.0,HBACK,3,F,A,4
360,1.17,0.1259411362,0,0,0.0,STNWG,4,M,C,3
361,2.37,0.643394935,0,0,0.0,MIBUS,3,M,C,3
362,1.68,0.2245037645,0,0,0.0,HBACK,3,F,C,4
363,1.83,0.3531827515,0,0,0.0,SEDAN,3,M,C,1
364,1.29,0.925393566,1,1,200.0,SEDAN,3,M,D,3
365,0.3,0.2299794661,0,0,0.0,HBACK,4,M,B,4
366,1.52,0.2491444216,0,0,0.0,HBACK,3,F,A,3
367,2.35,0.643394935,0,0,0.0,COUPE,2,F,C,3
368,0.34,0.2135523614,0,0,0.0,HBACK,4,F,B,1
369,0.99,0.2491444216,0,0,0.0,HBACK,2,F,E,5
370,1.84,0.8514715948,0,0,0.0,HBACK,2,F,A,4
371,1.23,0.8514715948,0,0,0.0,HBACK,3,F,B,4
372,2.03,0.6899383984,0,0,0.0,SEDAN,2,F,A,5
373,1.51,0.2272416153,0,0,0.0,HDTOP,4,M,C,2
374,0.76,0.2272416153,0,0,0.0,SEDAN,4,F,B,1
375,1.9,0.2245037645,0,0,0.0,STNWG,4,F,C,4
376,2.75,0.1752224504,0,0,0.0,STNWG,1,F,C,3
377,0.9,0.2245037645,0,0,0.0,SEDAN,3,F,A,6
378,1.74,0.720054757,0,0,0.0,HBACK,2,F,A,6
379,2.39,0.925393566,0,0,0.0,STNWG,3,M,E,6
380,2.14,0.6461327858,0,0,0.0,UTE,3,M,E,4
381,1.03,0.6461327858,0,0,0.0,HBACK,2,F,C,2
382,1.28,0.605065024,0,0,0.0,STNWG,4,M,F,4
383,0.67,0.2272416153,0,0,0.0,COUPE,4,F,B,3
384,0.9,0.720054757,0,0,0.0,HBACK,3,F,B,4
385,1.07,0.2491444216,0,0,0.0,SEDAN,3,M,C,4
386,2.29,0.2491444216,0,0,0.0,SEDAN,1,M,C,3
387,1.13,0.3778234086,1,1,937.55999565,SEDAN,4,F,B,1
388,1.37,0.8514715948,0,0,0.0,HBACK,2,M,A,3
389,0.62,0.8514715948,0,0,0.0,COUPE,4,M,A,4
390,1.26,0.0465434634,0,0,0.0,HBACK,2,F,F,2
391,1.98,0.0410677618,0,0,0.0,STNWG,4,F,C,4
392,0.0,0.9993155373,1,2,2724.3399963,STNWG,4,M,A,3
393,2.04,0.2491444216,0,0,0.0,HBACK,1,M,B,1
394,2.1,0.2491444216,0,0,0.0,COUPE,3,F,A,3
395,1.82,0.2245037645,0,0,0.0,HBACK,1,F,A,4
396,0.31,0.7830253251,0,0,0.0,HBACK,4,F,E,6
397,2.29,0.2491444216,0,0,0.0,SEDAN,1,M,A,2
398,1.38,0.2491444216,0,0,0.0,HBACK,1,F,B,1
399,1.85,0.2792607803,0,0,0.0,SEDAN,2,F,C,3
400,1.5,0.0273785079,0,0,0.0,HBACK,2,F,C,3
401,2.78,0.0739219713,0,0,0.0,SEDAN,2,M,C,5
402,2.49,0.5256673511,0,0,0.0,SEDAN,2,M,C,3
403,1.3,0.1396303901,0,0,0.0,HDTOP,4,M,C,3
404,5.236,0.2245037645,0,0,0.0,STNWG,1,M,C,3
